NETWORK,station,LOC_NAME,CHANNEL,DATE,FILENAME
OX,CIMO,,HHZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OX.CIMO..HHZ__20240320T000000Z__20240321T000000Z.mseed
OX,ADRI,,EHZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OX.ADRI..EHZ__20240320T000000Z__20240321T000000Z.mseed
IV,BRMO,,HHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/IV.BRMO..HHN__20240320T102348Z__20240320T102548Z.mseed
IV,MAGA,,HHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/IV.MAGA..HHN__20240320T101734Z__20240320T101934Z.mseed
RF,MASA,,HNN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/RF.MASA..HNN__20240320T000000Z__20240321T000000Z.mseed
SI,ROSI,,HHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/SI.ROSI..HHE__20240320T000000Z__20240321T000000Z.mseed
OX,MARN,,HHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OX.MARN..HHN__20240320T000000Z__20240321T000000Z.mseed
CH,SBGN,,HGN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/CH.SBGN..HGN__20240320T000000Z__20240321T000000Z.mseed
CH,FUORN,,HHZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/CH.FUORN..HHZ__20240320T000000Z__20240321T000000Z.mseed
IV,STAL,,HHZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/IV.STAL..HHZ__20240320T021652Z__20240320T021852Z.mseed
NI,DST2,,HHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/NI.DST2..HHN__20240320T000000Z__20240321T000000Z.mseed
OX,AFL,,EHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OX.AFL..EHE__20240320T000000Z__20240321T000000Z.mseed
IV,ZCCA,,HHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/IV.ZCCA..HHN__20240320T000000Z__20240321T000000Z.mseed
OX,STIN,,HNN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OX.STIN..HNN__20240320T000000Z__20240321T000000Z.mseed
ST,CARE,,EHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/ST.CARE..EHE__20240320T102352Z__20240320T102552Z.mseed
OX,VARN,,HHZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OX.VARN..HHZ__20240320T000000Z__20240321T000000Z.mseed
CH,SARD,,HGN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/CH.SARD..HGN__20240320T000000Z__20240321T000000Z.mseed
RF,GEPF,,HHZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/RF.GEPF..HHZ__20240320T000000Z__20240321T000000Z.mseed
OX,CSM,,HHZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OX.CSM..HHZ__20240320T021649Z__20240320T021849Z.mseed
4P,IT07A,,HHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/4P.IT07A..HHN__20240320T000000Z__20240321T000000Z.mseed
4P,IT09A,,HHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/4P.IT09A..HHE__20240320T000000Z__20240321T000000Z.mseed
HA,CHIE,,HNN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/HA.CHIE..HNN__20240320T000000Z__20240321T000000Z.mseed
ST,RONC,,EHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/ST.RONC..EHN__20240320T000000Z__20240321T000000Z.mseed
SI,BOSI,,HHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/SI.BOSI..HHN__20240320T000000Z__20240321T000000Z.mseed
IV,CAPR,,HNE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/IV.CAPR..HNE__20240320T000000Z__20240321T000000Z.mseed
IV,NEVI,,HNN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/IV.NEVI..HNN__20240320T000000Z__20240321T000000Z.mseed
OX,FUSE,,HHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OX.FUSE..HHE__20240320T000000Z__20240321T000000Z.mseed
IV,FVI,,HHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/IV.FVI..HHE__20240320T021651Z__20240320T021851Z.mseed
IV,BOZZ,,HHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/IV.BOZZ..HHN__20240320T000000Z__20240321T000000Z.mseed
IV,BRMO,,HHZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/IV.BRMO..HHZ__20240320T000000Z__20240321T000000Z.mseed
CH,SCHK,,HGZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/CH.SCHK..HGZ__20240320T000000Z__20240321T000000Z.mseed
OX,MARN,,HHZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OX.MARN..HHZ__20240320T101733Z__20240320T101933Z.mseed
IV,ASOL,,EHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/IV.ASOL..EHE__20240320T000000Z__20240321T000000Z.mseed
SL,CRNS,,HHZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/SL.CRNS..HHZ__20240320T000000Z__20240321T000000Z.mseed
IV,BRES,,EHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/IV.BRES..EHE__20240320T000000Z__20240321T000000Z.mseed
RF,STOL,,HNE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/RF.STOL..HNE__20240320T000000Z__20240321T000000Z.mseed
OE,RETA,,HHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OE.RETA..HHE__20240320T000000Z__20240321T000000Z.mseed
IV,NEVI,,HNZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/IV.NEVI..HNZ__20240320T000000Z__20240321T000000Z.mseed
HA,CHIE,,HNZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/HA.CHIE..HNZ__20240320T000000Z__20240321T000000Z.mseed
SI,BOSI,,HHZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/SI.BOSI..HHZ__20240320T000000Z__20240321T000000Z.mseed
ST,RONC,,EHZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/ST.RONC..EHZ__20240320T000000Z__20240321T000000Z.mseed
RF,POR,,HNE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/RF.POR..HNE__20240320T000000Z__20240321T000000Z.mseed
IV,BOZZ,,HHZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/IV.BOZZ..HHZ__20240320T000000Z__20240321T000000Z.mseed
CH,SCHK,,HGN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/CH.SCHK..HGN__20240320T000000Z__20240321T000000Z.mseed
OX,MARN,,HHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OX.MARN..HHN__20240320T101733Z__20240320T101933Z.mseed
IV,BRMO,,HHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/IV.BRMO..HHN__20240320T000000Z__20240321T000000Z.mseed
