NETWORK,station,LOC_NAME,CHANNEL,DATE,FILENAME
SL,GORS,,HHE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/SL.GORS..HHE__20240531T030028Z__20240531T030228Z.mseed
SL,ROBS,,HHZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/SL.ROBS..HHZ__20240531T030031Z__20240531T030231Z.mseed
NI,DST2,,HHN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/NI.DST2..HHN__20240531T030022Z__20240531T030222Z.mseed
NI,DST2,,HHZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/NI.DST2..HHZ__20240531T030029Z__20240531T030229Z.mseed
SL,CADS,,HHN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/SL.CADS..HHN__20240531T071652Z__20240531T071852Z.mseed
SL,JAVS,,HHZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/SL.JAVS..HHZ__20240531T071656Z__20240531T071856Z.mseed
SL,ROBS,,HHN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/SL.ROBS..HHN__20240531T071659Z__20240531T071859Z.mseed
OX,DRE,,HHN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/OX.DRE..HHN__20240531T030040Z__20240531T030240Z.mseed
SL,CADS,,HHZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/SL.CADS..HHZ__20240531T071654Z__20240531T071854Z.mseed
SL,ROBS,,HHE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/SL.ROBS..HHE__20240531T071659Z__20240531T071859Z.mseed
OX,DRE,,HHE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/OX.DRE..HHE__20240531T030040Z__20240531T030240Z.mseed
SL,CADS,,HHE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/SL.CADS..HHE__20240531T071652Z__20240531T071852Z.mseed
NI,DST2,,HHE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/NI.DST2..HHE__20240531T030022Z__20240531T030222Z.mseed
SL,JAVS,,HHN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/SL.JAVS..HHN__20240531T071701Z__20240531T071901Z.mseed
SL,MOZS,,HHE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/SL.MOZS..HHE__20240531T030037Z__20240531T030237Z.mseed
OX,BAD,,HHZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/OX.BAD..HHZ__20240531T071658Z__20240531T071858Z.mseed
SL,GORS,,HHN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/SL.GORS..HHN__20240531T030028Z__20240531T030228Z.mseed
SL,ROBS,,HHE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/SL.ROBS..HHE__20240531T071655Z__20240531T071855Z.mseed
OX,COLI,,EHE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/OX.COLI..EHE__20240531T030030Z__20240531T030230Z.mseed
OX,SABO,,HHE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/OX.SABO..HHE__20240531T030036Z__20240531T030236Z.mseed
OX,BAD,,HHZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/OX.BAD..HHZ__20240531T071705Z__20240531T071905Z.mseed
OX,BAD,,HHN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/OX.BAD..HHN__20240531T030033Z__20240531T030233Z.mseed
OX,DRE,,HHN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/OX.DRE..HHN__20240531T030029Z__20240531T030229Z.mseed
SL,ROBS,,HHE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/SL.ROBS..HHE__20240531T030043Z__20240531T030243Z.mseed
OX,COLI,,EHN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/OX.COLI..EHN__20240531T030044Z__20240531T030244Z.mseed
SL,KNDS,,HHZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/SL.KNDS..HHZ__20240531T030019Z__20240531T030219Z.mseed
SL,LJU,,HHN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/SL.LJU..HHN__20240531T030023Z__20240531T030223Z.mseed
SL,MOZS,,HHN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/SL.MOZS..HHN__20240531T030027Z__20240531T030227Z.mseed
OX,BAD,,HHE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/OX.BAD..HHE__20240531T030048Z__20240531T030248Z.mseed
SL,GORS,,HHE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/SL.GORS..HHE__20240531T071654Z__20240531T071854Z.mseed
SL,GORS,,HHN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/SL.GORS..HHN__20240531T030039Z__20240531T030239Z.mseed
OX,DRE,,HHZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/OX.DRE..HHZ__20240531T071653Z__20240531T071853Z.mseed
OX,SABO,,HHN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/OX.SABO..HHN__20240531T030026Z__20240531T030226Z.mseed
SL,CEY,,HHN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/SL.CEY..HHN__20240531T030019Z__20240531T030219Z.mseed
SL,GBAS,,HHE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/SL.GBAS..HHE__20240531T030024Z__20240531T030224Z.mseed
NI,POLC,,HHN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/NI.POLC..HHN__20240531T030041Z__20240531T030241Z.mseed
SL,CEY,,HHE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/SL.CEY..HHE__20240531T030017Z__20240531T030217Z.mseed
SL,LJU,,HHZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/SL.LJU..HHZ__20240531T030028Z__20240531T030228Z.mseed
SL,GORS,,HHN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/SL.GORS..HHN__20240531T071656Z__20240531T071856Z.mseed
OX,DRE,,HHE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/OX.DRE..HHE__20240531T071656Z__20240531T071856Z.mseed
OX,PRED,,HHE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/OX.PRED..HHE__20240531T071702Z__20240531T071902Z.mseed
SL,LJU,,HHN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/SL.LJU..HHN__20240531T030028Z__20240531T030228Z.mseed
SL,CADS,,HHE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/SL.CADS..HHE__20240531T030028Z__20240531T030228Z.mseed
SL,GORS,,HHZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/SL.GORS..HHZ__20240531T071656Z__20240531T071856Z.mseed
SL,CEY,,HHZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/SL.CEY..HHZ__20240531T030019Z__20240531T030219Z.mseed
NI,POLC,,HHZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/NI.POLC..HHZ__20240531T030041Z__20240531T030241Z.mseed
OX,PRED,,HHE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/OX.PRED..HHE__20240531T071657Z__20240531T071857Z.mseed
SL,KNDS,,HHE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/SL.KNDS..HHE__20240531T030017Z__20240531T030217Z.mseed
SL,GORS,,HHZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/SL.GORS..HHZ__20240531T030039Z__20240531T030239Z.mseed
OX,DRE,,HHN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/OX.DRE..HHN__20240531T071653Z__20240531T071853Z.mseed
OX,SABO,,HHZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/OX.SABO..HHZ__20240531T030026Z__20240531T030226Z.mseed
SL,CADS,,HHE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/SL.CADS..HHE__20240531T030040Z__20240531T030240Z.mseed
SL,GBAS,,HHE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/SL.GBAS..HHE__20240531T030020Z__20240531T030220Z.mseed
OX,COLI,,EHZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/OX.COLI..EHZ__20240531T030044Z__20240531T030244Z.mseed
SL,KNDS,,HHN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/SL.KNDS..HHN__20240531T030019Z__20240531T030219Z.mseed
SL,LJU,,HHZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/SL.LJU..HHZ__20240531T030023Z__20240531T030223Z.mseed
SL,MOZS,,HHZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/SL.MOZS..HHZ__20240531T030027Z__20240531T030227Z.mseed
OX,BAD,,HHN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/OX.BAD..HHN__20240531T071705Z__20240531T071905Z.mseed
OX,DRE,,HHZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/OX.DRE..HHZ__20240531T030029Z__20240531T030229Z.mseed
OX,BAD,,HHZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/OX.BAD..HHZ__20240531T030033Z__20240531T030233Z.mseed
SL,ROBS,,HHE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/SL.ROBS..HHE__20240531T030031Z__20240531T030231Z.mseed
OX,BAD,,HHN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/OX.BAD..HHN__20240531T071658Z__20240531T071858Z.mseed
SL,JAVS,,HHZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/SL.JAVS..HHZ__20240531T071701Z__20240531T071901Z.mseed
SL,GORS,,HHZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/SL.GORS..HHZ__20240531T030028Z__20240531T030228Z.mseed
SL,JAVS,,HHE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/SL.JAVS..HHE__20240531T071656Z__20240531T071856Z.mseed
NI,DST2,,HHE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/NI.DST2..HHE__20240531T030029Z__20240531T030229Z.mseed
SL,CADS,,HHN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/SL.CADS..HHN__20240531T071654Z__20240531T071854Z.mseed
IT,CRD,,HGN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.CRD..HGN__20240531T000000Z__20240601T000000Z.mseed
2Y,A300A,,HHE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/2Y.A300A..HHE__20240531T000000Z__20240601T000000Z.mseed
2Y,A300A,,HHN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/2Y.A300A..HHN__20240531T000000Z__20240601T000000Z.mseed
IT,CRD,,HGZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.CRD..HGZ__20240531T000000Z__20240601T000000Z.mseed
IT,AVS,,HNZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.AVS..HNZ__20240531T000000Z__20240601T000000Z.mseed
2Y,A300A,,HHZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/2Y.A300A..HHZ__20240531T000000Z__20240601T000000Z.mseed
IT,BLL,,HNE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.BLL..HNE__20240531T000000Z__20240601T000000Z.mseed
2Y,A301A,,HHE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/2Y.A301A..HHE__20240531T000000Z__20240601T000000Z.mseed
2Y,A301A,,HHN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/2Y.A301A..HHN__20240531T000000Z__20240601T000000Z.mseed
IT,BLL,,HNN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.BLL..HNN__20240531T000000Z__20240601T000000Z.mseed
2Y,A301A,,HHZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/2Y.A301A..HHZ__20240531T000000Z__20240601T000000Z.mseed
IT,CRP,,HNE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.CRP..HNE__20240531T000000Z__20240601T000000Z.mseed
2Y,A302A,,HHE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/2Y.A302A..HHE__20240531T000000Z__20240601T000000Z.mseed
IT,CRP,,HNN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.CRP..HNN__20240531T000000Z__20240601T000000Z.mseed
IT,CRP,,HNZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.CRP..HNZ__20240531T000000Z__20240601T000000Z.mseed
2Y,A302A,,HHN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/2Y.A302A..HHN__20240531T000000Z__20240601T000000Z.mseed
IT,CSP,,HGE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.CSP..HGE__20240531T000000Z__20240601T000000Z.mseed
2Y,A302A,,HHZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/2Y.A302A..HHZ__20240531T000000Z__20240601T000000Z.mseed
2Y,A303A,,HHE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/2Y.A303A..HHE__20240531T000000Z__20240601T000000Z.mseed
2Y,A303A,,HHN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/2Y.A303A..HHN__20240531T000000Z__20240601T000000Z.mseed
2Y,A303A,,HHZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/2Y.A303A..HHZ__20240531T000000Z__20240601T000000Z.mseed
IT,BLL,,HNZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.BLL..HNZ__20240531T000000Z__20240601T000000Z.mseed
IT,CSP,,HGN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.CSP..HGN__20240531T000000Z__20240601T000000Z.mseed
CH,DAVOX,,HHE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/CH.DAVOX..HHE__20240531T000000Z__20240601T000000Z.mseed
IT,BLZN,,HNE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.BLZN..HNE__20240531T000000Z__20240601T000000Z.mseed
CH,DAVOX,,HHN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/CH.DAVOX..HHN__20240531T000000Z__20240601T000000Z.mseed
IT,CSP,,HGZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.CSP..HGZ__20240531T000000Z__20240601T000000Z.mseed
CH,DAVOX,,HHZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/CH.DAVOX..HHZ__20240531T000000Z__20240601T000000Z.mseed
IT,CST,,HGE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.CST..HGE__20240531T000000Z__20240601T000000Z.mseed
CH,FUORN,,HHE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/CH.FUORN..HHE__20240531T000000Z__20240601T000000Z.mseed
CH,FUORN,,HHN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/CH.FUORN..HHN__20240531T000000Z__20240601T000000Z.mseed
IT,BLZN,,HNN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.BLZN..HNN__20240531T000000Z__20240601T000000Z.mseed
IT,CST,,HGN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.CST..HGN__20240531T000000Z__20240601T000000Z.mseed
IT,CST,,HGZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.CST..HGZ__20240531T000000Z__20240601T000000Z.mseed
CH,FUORN,,HHZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/CH.FUORN..HHZ__20240531T000000Z__20240601T000000Z.mseed
IT,BLZN,,HNZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.BLZN..HNZ__20240531T000000Z__20240601T000000Z.mseed
IT,CVD,,HGE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.CVD..HGE__20240531T000000Z__20240601T000000Z.mseed
IT,BNO,,HNE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.BNO..HNE__20240531T000000Z__20240601T000000Z.mseed
IT,BNO,,HNN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.BNO..HNN__20240531T000000Z__20240601T000000Z.mseed
EV,ED06,01,HHE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/EV.ED06.01.HHE__20240531T000000Z__20240601T000000Z.mseed
IT,CVD,,HGN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.CVD..HGN__20240531T000000Z__20240601T000000Z.mseed
IT,BNO,,HNZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.BNO..HNZ__20240531T000000Z__20240601T000000Z.mseed
EV,ED06,01,HHN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/EV.ED06.01.HHN__20240531T000000Z__20240601T000000Z.mseed
IT,CVD,,HGZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.CVD..HGZ__20240531T000000Z__20240601T000000Z.mseed
EV,ED06,01,HHZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/EV.ED06.01.HHZ__20240531T000000Z__20240601T000000Z.mseed
IT,BOZL,,HNE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.BOZL..HNE__20240531T000000Z__20240601T000000Z.mseed
IT,CVF,,HNE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.CVF..HNE__20240531T000000Z__20240601T000000Z.mseed
HA,CHIE,,HNE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/HA.CHIE..HNE__20240531T000000Z__20240601T000000Z.mseed
IT,CVF,,HNN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.CVF..HNN__20240531T000000Z__20240601T000000Z.mseed
IT,CVF,,HNZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.CVF..HNZ__20240531T000000Z__20240601T000000Z.mseed
IT,DANT,,HNE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.DANT..HNE__20240531T000000Z__20240601T000000Z.mseed
HA,CHIE,,HNN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/HA.CHIE..HNN__20240531T000000Z__20240601T000000Z.mseed
HA,CHIE,,HNZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/HA.CHIE..HNZ__20240531T000000Z__20240601T000000Z.mseed
IT,DANT,,HNN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.DANT..HNN__20240531T000000Z__20240601T000000Z.mseed
IT,BOZL,,HNN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.BOZL..HNN__20240531T000000Z__20240601T000000Z.mseed
HA,INVI,,HNE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/HA.INVI..HNE__20240531T000000Z__20240601T000000Z.mseed
IT,DANT,,HNZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.DANT..HNZ__20240531T000000Z__20240601T000000Z.mseed
IT,DRN,,HNE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.DRN..HNE__20240531T000000Z__20240601T000000Z.mseed
IT,DRN,,HNN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.DRN..HNN__20240531T000000Z__20240601T000000Z.mseed
HA,INVI,,HNN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/HA.INVI..HNN__20240531T000000Z__20240601T000000Z.mseed
IT,DRN,,HNZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.DRN..HNZ__20240531T000000Z__20240601T000000Z.mseed
IT,BOZL,,HNZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.BOZL..HNZ__20240531T000000Z__20240601T000000Z.mseed
HA,INVI,,HNZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/HA.INVI..HNZ__20240531T000000Z__20240601T000000Z.mseed
IT,BRA,,HGE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.BRA..HGE__20240531T000000Z__20240601T000000Z.mseed
HA,TARV,,HNE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/HA.TARV..HNE__20240531T000000Z__20240601T000000Z.mseed
IT,DSG,,HGE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.DSG..HGE__20240531T000000Z__20240601T000000Z.mseed
IT,BRA,,HGN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.BRA..HGN__20240531T000000Z__20240601T000000Z.mseed
HA,TARV,,HNN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/HA.TARV..HNN__20240531T000000Z__20240601T000000Z.mseed
HA,TARV,,HNZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/HA.TARV..HNZ__20240531T000000Z__20240601T000000Z.mseed
IT,BRA,,HGZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.BRA..HGZ__20240531T000000Z__20240601T000000Z.mseed
IT,DSG,,HGN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.DSG..HGN__20240531T000000Z__20240601T000000Z.mseed
IT,ALF,,HGE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.ALF..HGE__20240531T000000Z__20240601T000000Z.mseed
IT,BRC,,HGE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.BRC..HGE__20240531T000000Z__20240601T000000Z.mseed
IT,DSG,,HGZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.DSG..HGZ__20240531T000000Z__20240601T000000Z.mseed
IT,BRC,,HGN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.BRC..HGN__20240531T000000Z__20240601T000000Z.mseed
IT,ALF,,HGN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.ALF..HGN__20240531T000000Z__20240601T000000Z.mseed
IT,BRC,,HGZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.BRC..HGZ__20240531T000000Z__20240601T000000Z.mseed
IT,FAG,,HNE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.FAG..HNE__20240531T000000Z__20240601T000000Z.mseed
IT,ALF,,HGZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.ALF..HGZ__20240531T000000Z__20240601T000000Z.mseed
IT,FAG,,HNN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.FAG..HNN__20240531T000000Z__20240601T000000Z.mseed
IT,BRSA,,HGE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.BRSA..HGE__20240531T000000Z__20240601T000000Z.mseed
IT,APR,,HGE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.APR..HGE__20240531T000000Z__20240601T000000Z.mseed
IT,FAG,,HNZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.FAG..HNZ__20240531T000000Z__20240601T000000Z.mseed
IT,APR,,HGN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.APR..HGN__20240531T000000Z__20240601T000000Z.mseed
IT,FDS,,HNE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.FDS..HNE__20240531T000000Z__20240601T000000Z.mseed
IT,BRSA,,HGN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.BRSA..HGN__20240531T000000Z__20240601T000000Z.mseed
IT,APR,,HGZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.APR..HGZ__20240531T000000Z__20240601T000000Z.mseed
IT,FDS,,HNN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.FDS..HNN__20240531T000000Z__20240601T000000Z.mseed
IT,ARG,,HNE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.ARG..HNE__20240531T000000Z__20240601T000000Z.mseed
IT,FDS,,HNZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.FDS..HNZ__20240531T000000Z__20240601T000000Z.mseed
IT,ARG,,HNN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.ARG..HNN__20240531T000000Z__20240601T000000Z.mseed
IT,FIC,,HNE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.FIC..HNE__20240531T000000Z__20240601T000000Z.mseed
IT,BRSA,,HGZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.BRSA..HGZ__20240531T000000Z__20240601T000000Z.mseed
IT,ARG,,HNZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.ARG..HNZ__20240531T000000Z__20240601T000000Z.mseed
IT,FIC,,HNN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.FIC..HNN__20240531T000000Z__20240601T000000Z.mseed
IT,BSG,,HNE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.BSG..HNE__20240531T000000Z__20240601T000000Z.mseed
IT,AVI,,HNE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.AVI..HNE__20240531T000000Z__20240601T000000Z.mseed
IT,FIC,,HNZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.FIC..HNZ__20240531T000000Z__20240601T000000Z.mseed
IT,AVI,,HNN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.AVI..HNN__20240531T000000Z__20240601T000000Z.mseed
IT,FLP,,HGE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.FLP..HGE__20240531T000000Z__20240601T000000Z.mseed
IT,AVI,,HNZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.AVI..HNZ__20240531T000000Z__20240601T000000Z.mseed
IT,BSG,,HNN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.BSG..HNN__20240531T000000Z__20240601T000000Z.mseed
IT,FLP,,HGN,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.FLP..HGN__20240531T000000Z__20240601T000000Z.mseed
IT,AVS,,HNE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.AVS..HNE__20240531T000000Z__20240601T000000Z.mseed
IT,FLP,,HGZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.FLP..HGZ__20240531T000000Z__20240601T000000Z.mseed
IT,GAI,,HNE,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.GAI..HNE__20240531T000000Z__20240601T000000Z.mseed
IT,BSG,,HNZ,2024-05-31,/Volumes/Expansion/KEN/waveforms/2024/05/31/IT.BSG..HNZ__20240531T000000Z__20240601T000000Z.mseed
