idx_in_group,time,latitude,longitude,depth,azimuthal_gap,min_distance,vertical_uncertainty,number_picks,number_picks_nll,std_nll,max_horizontal_uncertainty,min_horizontal_uncertainty,group,magnitude,gamma_sigma_time,gamma_sigma_amp,gamma_cov_time_amp,gamma_score,number_p_picks,number_s_picks,number_p_and_s_picks,ML,ML_median,ML_unc,ML_stations,idx
26,2024-03-27 12:10:14.343037+00:00,46.282416,14.45878,13.398437,162.949,1.76659,4.044024851555688,20,20,0.409298,2.83461,1.9179,2024-03-27,999,0.33192281651078887,0,0,20.0,11,9,9,0.6752871091284263,0.7165299409456014,0.11950458966401861,7,77
38,2024-03-27 15:20:28.355529+00:00,47.232514,11.460883,9.225781,98.7718,13.7316,4.8341883082892005,21,21,0.285346,2.17021,1.52076,2024-03-27,999,0.28743021710965044,0,0,21.0,15,6,6,1.691185321167004,1.6561214562417024,0.11543203626414297,6,78
17,2024-03-27 15:26:03.173152+00:00,47.244382,11.449576,6.967187,180.56,13.9667,7.675817285475208,6,6,0.0832684,6.41633,3.03912,2024-03-27,999,0.07311899905112994,0,0,6.0,3,3,3,0.5591862181278641,0.4108560486930124,0.22716838535824707,3,79
30,2024-03-27 16:32:58.446021+00:00,45.491373,14.503666,13.704688,199.819,10.4463,4.13002435828168,41,41,0.534601,2.96502,1.6494,2024-03-27,999,0.5464161393060804,0,0,43.516888241253156,27,14,14,1.70981230568937,1.7085440627634911,0.08135555170557664,13,80
39,2024-03-27 16:36:06.686210+00:00,46.279778,13.487521,5.933594,65.585,4.27375,2.4097772718655968,23,23,0.137719,0.628479,0.60236,2024-03-27,999,0.24931488026206133,0,0,22.84145171108994,11,12,11,0.7040406415364721,0.7483322303976379,0.09176472387086793,11,81
37,2024-03-27 16:41:15.338874+00:00,45.481417,14.500388,14.164063,203.902,10.6999,3.9108004807200274,18,18,0.304304,3.06065,1.73996,2024-03-27,999,0.24708414278998148,0,0,18.0,11,7,7,1.102982741690023,1.010550308183277,0.10987988883230977,7,82
5,2024-03-27 17:43:25.076259+00:00,46.281827,12.750759,0.287109,125.368,3.07859,2.1424917269385197,14,14,0.095908,1.07642,0.615981,2024-03-27,999,0.2707372130258458,0,0,14.0,7,7,7,0.9246423055620543,0.9221013028367996,0.1438009187100881,7,83
18,2024-03-27 18:55:58.050631+00:00,45.499232,14.52592,10.948437,204.849,11.8049,7.287630341887547,8,8,0.127526,3.89283,1.58038,2024-03-27,999,0.1569348184139533,0,0,8.0,4,4,4,0.5742767595184755,0.5742767595184755,0.016848425246106524,2,84
32,2024-03-27 19:19:29.909968+00:00,46.171565,13.440893,13.130469,84.6225,0.745007,1.9887300721817427,15,15,0.136145,1.3027,1.10186,2024-03-27,999,0.10384785080312703,0,0,15.0,8,7,7,0.622338028837125,0.6462222587424269,0.061001953260339276,5,85
33,2024-03-27 20:01:27.528419+00:00,47.258215,11.452558,10.029687,169.92,12.7238,7.011130864561008,8,8,0.120671,2.90238,1.41927,2024-03-27,999,0.07805688900094278,0,0,8.0,4,4,4,0.20704667263013166,0.26139872981291856,0.06916021472660736,3,86
15,2024-03-27 21:19:36.675123+00:00,46.360834,12.807441,11.292969,33.4456,8.46956,1.4767933911011384,123,123,0.346009,0.692849,0.580484,2024-03-27,999,0.5770651703975137,0,0,130.0,70,53,53,4.510831032963515,4.514453848433895,0.03966799635378135,53,87
